"Name", "Length", "Width", "Lead-Length", "Lead-Width", "Aliases"
"009005", 0.3 +/- 0.01, 0.15 +/- 0.01, 0.11 +/- 0.01, 0.15 +/- 0.01, "0301m"
"01005", 0.4 +/- 0.02, 0.2 +/- 0.02, 0.1 +/- 0.03, 0.2 +/- 0.02, "0402m"
"0201", 0.6 +/- 0.03, 0.3 +/- 0.03, 0.15 +/- 0.05, 0.3 +/- 0.03, "0603m"
"0202", 0.6 +/- 0.03, 0.6 +/- 0.03, 0.15 +/- 0.05, 0.6 +/- 0.03, "0606m"
"0204", 0.5 +/- 0.1, 1.0 +/- 0.1, 0.25 +/- 0.15, 1.0 +/- 0.1, "0510m|Wide 0402"
"0306", 0.8 +/- 0.15, 1.6 +/- 0.15, 0.35 +/- 0.15, 1.6 +/- 0.15, "0816m|Wide 0603"
"0402", 1.0 +/- 0.1, 0.5 +/- 0.1, 0.25 +/- 0.15, 0.5 +/- 0.1, "1005m"
"0505", 1.4 +/- 0.38, 1.4 +/- 0.38, 0.1 +/- 0.05, 1.4 +/- 0.38, "1414m"
"0508", 1.27 +/- 0.25, 2.0 +/- 0.25, 0.13 +/- 0.03, 2.0 +/- 0.25, "1220m|Wide 0805"
"0603", 1.6 +/- 0.15, 0.8 +/- 0.15, 0.35 +/- 0.15, 0.8 +/- 0.15, "1608m"
"0612", 1.6 +/- 0.15, 3.2 +/- 0.2, 0.13 +/- 0.03, 3.2 +/- 0.2, "1632m|Wide 1206"
"0805", 2.0 +/- 0.2, 1.2 +/- 0.1, 0.5 +/- 0.3, 1.2 +/- 0.1, "2012m"
"1111", 2.79 +/- 0.38, 2.79 +/- 0.38, 0.38 +/- 0.25, 2.79 +/- 0.38, "2828m"
"1206", 3.2 +/- 0.2, 1.6 +/- 0.2, 0.5 +/- 0.25, 1.6 +/- 0.2, "3216m"
"1210", 3.2 +/- 0.2, 2.5 +/- 0.2, 0.5 +/- 0.25, 2.5 +/- 0.2, "3225m"
"1218", 3.2 +/- 0.1, 4.6 +/- 0.15, 0.45 +/- 0.2, 4.6 +/- 0.15, "3246m"
"1225", 3.2 +/- 0.2, 6.3 +/- 0.2, 0.8 +/- 0.2, 6.3 +/- 0.2, "3263m|Wide 2512"
"1530", 3.8 +/- 0.2, 7.6 +/- 0.2, 0.6 +/- 0.2, 7.6 +/- 0.2, "3876m|Wide 3015"
"1808", 4.5 +/- 0.4, 2.0 +/- 0.2, 0.5 +/- 0.25, 2.0 +/- 0.2, "4520m"
"1812", 4.5 +/- 0.3, 3.2 +/- 0.3, 0.6 +/- 0.35, 3.2 +/- 0.3, "4532m"
"1825", 4.5 +/- 0.3, 6.4 +/- 0.4, 0.6 +/- 0.35, 6.4 +/- 0.4, "4564m"
"1835", 4.5 +/- 0.2, 8.9 +/- 0.2, 0.7 +/- 0.2, 8.9 +/- 0.2, "4589m|Wide 3518"
"5020m", 5.0 +/- 0.2, 2.0 +/- 0.2, 0.5 +/- 0.2, 2.0 +/- 0.2, ""
"2010", 5.08 +/- 0.254, 2.54 +/- 0.254, 0.508 +/- 0.254, 2.54 +/- 0.254, "5025m"
"2043", 5.0 +/- 0.2, 11.0 +/- 0.2, 0.8 +/- 0.2, 11.0 +/- 0.2, "Wide 4320"
"2220", 5.7 +/- 0.2, 5.0 +/- 0.2, 0.5 +/- 0.25, 5.0 +/- 0.2, "5250m"
"2225", 5.7 +/- 0.2, 6.35 +/- 0.22, 0.5 +/- 0.25, 6.35 +/- 0.25, "5763m"
"2312", 6.0 +/- 0.25, 3.2 +/- 0.25, 1.3 +/- 0.3, 3.2 +/- 0.25, "6032m"
"2512", 6.35 +/- 0.25, 3.18 +/- 0.25, 2.0 +/- 0.5, 3.18 +/- 0.25, "6331m"
"2725", 6.81 +/- 0.25, 6.45 +/- 0.25, 2.0 +/- 0.5, 6.45 +/- 0.25, "6966m"
"2728", 6.71 +/- 0.25, 7.19 +/- 0.25, 1.5 +/- 0.5, 7.19 +/- 0.25, "Wide 2827|7071m"
"2816", 7.1 +/- 0.3, 4.2 +/- 0.3, 2.0 +/- 0.5, 4.2 +/- 0.3,  "7142m"
"2817", 7.1 +/- 0.2, 4.3 +/- 0.2, 1.2 +/- 0.5, 4.3 +/- 0.3, "7143m"
"2953", 7.5 +/- 0.2, 15.0 +/- 0.2, 1.1 +/- 0.1, 15.0 +/- 0.2, "Wide 5929"
"3920", 10.0 +/- 0.3, 5.2 +/- 0.3, 2.0 +/- 0.5, 5.2 +/- 0.3, "10052m"
